 #level   step     block  iter  sweep   error
  1         1         1     0     1 -0.10000000000000E+01
  1         1         1     1     1 -0.10000000000000E+01
  1         1         1     2     1 -0.10000000000000E+01
  1         1         1     3     1 -0.10000000000000E+01
  1         1         1     4     1 -0.10000000000000E+01
  1         1         1     5     1  0.88548245336809E+00
  1         3         2     0     1 -0.10000000000000E+01
  1         3         2     1     1 -0.10000000000000E+01
  1         3         2     2     1 -0.10000000000000E+01
  1         3         2     3     1 -0.10000000000000E+01
  1         3         2     4     1 -0.10000000000000E+01
  1         3         2     5     1  0.69433157543999E+00
  1         5         3     0     1 -0.10000000000000E+01
  1         5         3     1     1 -0.10000000000000E+01
  1         5         3     2     1 -0.10000000000000E+01
  1         5         3     3     1 -0.10000000000000E+01
  1         5         3     4     1 -0.10000000000000E+01
  1         5         3     5     1  0.54444482193359E+00
  1         7         4     0     1 -0.10000000000000E+01
  1         7         4     1     1 -0.10000000000000E+01
  1         7         4     2     1 -0.10000000000000E+01
  1         7         4     3     1 -0.10000000000000E+01
  1         7         4     4     1 -0.10000000000000E+01
  1         7         4     5     1  0.34426825203968E+00
  1         9         5     0     1 -0.10000000000000E+01
  1         9         5     1     1 -0.10000000000000E+01
  1         9         5     2     1 -0.10000000000000E+01
  1         9         5     3     1 -0.10000000000000E+01
  1         9         5     4     1 -0.10000000000000E+01
  1         9         5     5     1  0.26995037213093E+00
  1        11         6     0     1 -0.10000000000000E+01
  1        11         6     1     1 -0.10000000000000E+01
  1        11         6     2     1 -0.10000000000000E+01
  1        11         6     3     1 -0.10000000000000E+01
  1        11         6     4     1 -0.10000000000000E+01
  1        11         6     5     1  0.21167564241162E+00
  1        13         7     0     1 -0.10000000000000E+01
  1        13         7     1     1 -0.10000000000000E+01
  1        13         7     2     1 -0.10000000000000E+01
  1        13         7     3     1 -0.10000000000000E+01
  1        13         7     4     1 -0.10000000000000E+01
  1        13         7     5     1  0.16598079578774E+00
  1        15         8     0     1 -0.10000000000000E+01
  1        15         8     1     1 -0.10000000000000E+01
  1        15         8     2     1 -0.10000000000000E+01
  1        15         8     3     1 -0.10000000000000E+01
  1        15         8     4     1 -0.10000000000000E+01
  1        15         8     5     1  0.10495447127911E+00
  1        17         9     0     1 -0.10000000000000E+01
  1        17         9     1     1 -0.10000000000000E+01
