 #level   step     block  iter  sweep   residual
  1         1         1     0     1 -0.10000000000000E+01
  1         1         1     1     1  0.79915601454412E-12
  1         1         1     2     1  0.80268174415162E-12
  1         1         1     3     1  0.80212368010183E-12
  1         1         1     4     1  0.80300057518562E-12
  1         1         1     5     1  0.80912384098936E-12
  1         3         2     0     1 -0.10000000000000E+01
  1         3         2     1     1  0.61807129480106E-12
  1         3         2     2     1  0.61147862592512E-12
  1         3         2     3     1  0.61021155797942E-12
  1         3         2     4     1  0.60716179298979E-12
  1         3         2     5     1  0.61140955200658E-12
  1         5         3     0     1 -0.10000000000000E+01
  1         5         3     1     1  0.46151568202604E-12
  1         5         3     2     1  0.46069449121556E-12
  1         5         3     3     1  0.46273444044304E-12
  1         5         3     4     1  0.45825095472749E-12
  1         5         3     5     1  0.46223486796141E-12
  1         7         4     0     1 -0.10000000000000E+01
  1         7         4     1     1  0.30058898540580E-12
  1         7         4     2     1  0.29913967581577E-12
  1         7         4     3     1  0.30033789356200E-12
  1         7         4     4     1  0.30219967895894E-12
  1         7         4     5     1  0.30227190584551E-12
  1         9         5     0     1 -0.10000000000000E+01
  1         9         5     1     1  0.23036486814503E-12
  1         9         5     2     1  0.23025420870002E-12
  1         9         5     3     1  0.23030699041101E-12
  1         9         5     4     1  0.23003064059034E-12
  1         9         5     5     1  0.23013836719672E-12
  1        11         6     0     1 -0.10000000000000E+01
  1        11         6     1     1  0.19425568201148E-12
  1        11         6     2     1  0.19298361897986E-12
  1        11         6     3     1  0.19326733701650E-12
  1        11         6     4     1  0.19260066021318E-12
  1        11         6     5     1  0.19407142997309E-12
  1        13         7     0     1 -0.10000000000000E+01
  1        13         7     1     1  0.14230598623666E-12
  1        13         7     2     1  0.14158094869957E-12
  1        13         7     3     1  0.14022402000138E-12
  1        13         7     4     1  0.14023635462338E-12
  1        13         7     5     1  0.14048830932512E-12
  1        15         8     0     1 -0.10000000000000E+01
  1        15         8     1     1  0.95731784740968E-13
  1        15         8     2     1  0.96331971776095E-13
  1        15         8     3     1  0.96553718277030E-13
  1        15         8     4     1  0.96162123535120E-13
  1        15         8     5     1  0.95868493743822E-13
  1        17         9     0     1 -0.10000000000000E+01
  1        17         9     1     1 -0.10000000000000E+01
  1        17         9     2     1 -0.10000000000000E+01
  1        17         9     3     1 -0.10000000000000E+01
  1        17         9     4     1 -0.10000000000000E+01
  1        17         9     5     1 -0.10000000000000E+01
  1        19        10     0     1 -0.10000000000000E+01
  1        19        10     1     1 -0.10000000000000E+01
  1        19        10     2     1 -0.10000000000000E+01
  1        19        10     3     1 -0.10000000000000E+01
  1        19        10     4     1 -0.10000000000000E+01
  1        19        10     5     1 -0.10000000000000E+01
  1        21        11     0     1 -0.10000000000000E+01
  1        21        11     1     1 -0.10000000000000E+01
  1        21        11     2     1 -0.10000000000000E+01
  1        21        11     3     1 -0.10000000000000E+01
  1        21        11     4     1 -0.10000000000000E+01
  1        21        11     5     1 -0.10000000000000E+01
  1        23        12     0     1 -0.10000000000000E+01
  1        23        12     1     1 -0.10000000000000E+01
  1        23        12     2     1 -0.10000000000000E+01
  1        23        12     3     1 -0.10000000000000E+01
  1        23        12     4     1 -0.10000000000000E+01
  1        23        12     5     1 -0.10000000000000E+01
  1        25        13     0     1 -0.10000000000000E+01
  1        25        13     1     1 -0.10000000000000E+01
  1        25        13     2     1 -0.10000000000000E+01
  1        25        13     3     1 -0.10000000000000E+01
  1        25        13     4     1 -0.10000000000000E+01
  1        25        13     5     1 -0.10000000000000E+01
  1        27        14     0     1 -0.10000000000000E+01
  1        27        14     1     1 -0.10000000000000E+01
  1        27        14     2     1 -0.10000000000000E+01
  1        27        14     3     1 -0.10000000000000E+01
  1        27        14     4     1 -0.10000000000000E+01
  1        27        14     5     1 -0.10000000000000E+01
  1        29        15     0     1 -0.10000000000000E+01
  1        29        15     1     1 -0.10000000000000E+01
  1        29        15     2     1 -0.10000000000000E+01
  1        29        15     3     1 -0.10000000000000E+01
  1        29        15     4     1 -0.10000000000000E+01
  1        29        15     5     1 -0.10000000000000E+01
  1        31        16     0     1 -0.10000000000000E+01
  1        31        16     1     1 -0.10000000000000E+01
  1        31        16     2     1 -0.10000000000000E+01
  1        31        16     3     1 -0.10000000000000E+01
  1        31        16     4     1 -0.10000000000000E+01
  1        31        16     5     1 -0.10000000000000E+01
  1        33        17     0     1 -0.10000000000000E+01
  1        33        17     1     1 -0.10000000000000E+01
  1        33        17     2     1 -0.10000000000000E+01
  1        33        17     3     1 -0.10000000000000E+01
  1        33        17     4     1 -0.10000000000000E+01
  1        33        17     5     1 -0.10000000000000E+01
  1        35        18     0     1 -0.10000000000000E+01
  1        35        18     1     1 -0.10000000000000E+01
  1        35        18     2     1 -0.10000000000000E+01
  1        35        18     3     1 -0.10000000000000E+01
  1        35        18     4     1 -0.10000000000000E+01
  1        35        18     5     1 -0.10000000000000E+01
  1        37        19     0     1 -0.10000000000000E+01
  1        37        19     1     1 -0.10000000000000E+01
  1        37        19     2     1 -0.10000000000000E+01
  1        37        19     3     1 -0.10000000000000E+01
  1        37        19     4     1 -0.10000000000000E+01
  1        37        19     5     1 -0.10000000000000E+01
  1        39        20     0     1 -0.10000000000000E+01
  1        39        20     1     1 -0.10000000000000E+01
  1        39        20     2     1 -0.10000000000000E+01
  1        39        20     3     1 -0.10000000000000E+01
  1        39        20     4     1 -0.10000000000000E+01
  1        39        20     5     1 -0.10000000000000E+01
  2         1         1     0     1  0.19323010540495E+04
  2         1         1     1     1  0.18836808958036E-05
  2         1         1     2     1  0.18852540432472E-05
  2         1         1     3     1  0.18850245779584E-05
  2         1         1     4     1  0.18850638767635E-05
  2         1         1     5     1  0.14993502362959E-02
  2         3         2     0     1  0.15151713396795E+04
  2         3         2     1     1  0.14770585913013E-05
  2         3         2     2     1  0.14782924976099E-05
  2         3         2     3     1  0.14780819159583E-05
  2         3         2     4     1  0.14780990327932E-05
  2         3         2     5     1  0.11756824823258E-02
  2         5         3     0     1  0.11880882555930E+04
  2         5         3     1     1  0.11581976383121E-05
  2         5         3     2     1  0.11591285426082E-05
  2         5         3     3     1  0.11590216387041E-05
  2         5         3     4     1  0.11590355931430E-05
  2         5         3     5     1  0.92188554618121E-03
  2         7         4     0     1  0.75126266354092E+03
  2         7         4     1     1  0.73237008810092E-06
  2         7         4     2     1  0.73297525654450E-06
  2         7         4     3     1  0.73287759714225E-06
  2         7         4     4     1  0.73287922163456E-06
  2         7         4     5     1  0.58293496774161E-03
  2         9         5     0     1  0.58908608158288E+03
  2         9         5     1     1  0.57426271577964E-06
  2         9         5     2     1  0.57474761187385E-06
  2         9         5     3     1  0.57467351678663E-06
  2         9         5     4     1  0.57468253174920E-06
  2         9         5     5     1  0.45709562259562E-03
  2        11         6     0     1  0.46191888450712E+03
  2        11         6     1     1  0.45029882459686E-06
  2        11         6     2     1  0.45067398201893E-06
  2        11         6     3     1  0.45061587206522E-06
  2        11         6     4     1  0.45061725336536E-06
  2        11         6     5     1  0.35842147212921E-03
  2        13         7     0     1  0.36220352599569E+03
  2        13         7     1     1  0.35308999388919E-06
  2        13         7     2     1  0.35338249790545E-06
  2        13         7     3     1  0.35334464948893E-06
  2        13         7     4     1  0.35335082486662E-06
  2        13         7     5     1  0.28104830609943E-03
  2        15         8     0     1  0.22903179490452E+03
  2        15         8     1     1  0.22327084519275E-06
  2        15         8     2     1  0.22345729910979E-06
  2        15         8     3     1  0.22342737265735E-06
  2        15         8     4     1  0.22343106073680E-06
  2        15         8     5     1  0.17771499562388E-03
  2        17         9     0     1 -0.10000000000000E+01
  2        17         9     1     1 -0.10000000000000E+01
  2        17         9     2     1 -0.10000000000000E+01
  2        17         9     3     1 -0.10000000000000E+01
  2        17         9     4     1 -0.10000000000000E+01
  2        17         9     5     1 -0.10000000000000E+01
  2        19        10     0     1 -0.10000000000000E+01
  2        19        10     1     1 -0.10000000000000E+01
  2        19        10     2     1 -0.10000000000000E+01
  2        19        10     3     1 -0.10000000000000E+01
  2        19        10     4     1 -0.10000000000000E+01
  2        19        10     5     1 -0.10000000000000E+01
  2        21        11     0     1 -0.10000000000000E+01
  2        21        11     1     1 -0.10000000000000E+01
  2        21        11     2     1 -0.10000000000000E+01
  2        21        11     3     1 -0.10000000000000E+01
  2        21        11     4     1 -0.10000000000000E+01
  2        21        11     5     1 -0.10000000000000E+01
  2        23        12     0     1 -0.10000000000000E+01
  2        23        12     1     1 -0.10000000000000E+01
  2        23        12     2     1 -0.10000000000000E+01
  2        23        12     3     1 -0.10000000000000E+01
  2        23        12     4     1 -0.10000000000000E+01
  2        23        12     5     1 -0.10000000000000E+01
  2        25        13     0     1 -0.10000000000000E+01
  2        25        13     1     1 -0.10000000000000E+01
  2        25        13     2     1 -0.10000000000000E+01
  2        25        13     3     1 -0.10000000000000E+01
  2        25        13     4     1 -0.10000000000000E+01
  2        25        13     5     1 -0.10000000000000E+01
  2        27        14     0     1 -0.10000000000000E+01
  2        27        14     1     1 -0.10000000000000E+01
  2        27        14     2     1 -0.10000000000000E+01
  2        27        14     3     1 -0.10000000000000E+01
  2        27        14     4     1 -0.10000000000000E+01
  2        27        14     5     1 -0.10000000000000E+01
  2        29        15     0     1 -0.10000000000000E+01
  2        29        15     1     1 -0.10000000000000E+01
  2        29        15     2     1 -0.10000000000000E+01
  2        29        15     3     1 -0.10000000000000E+01
  2        29        15     4     1 -0.10000000000000E+01
  2        29        15     5     1 -0.10000000000000E+01
  2        31        16     0     1 -0.10000000000000E+01
  2        31        16     1     1 -0.10000000000000E+01
  2        31        16     2     1 -0.10000000000000E+01
  2        31        16     3     1 -0.10000000000000E+01
  2        31        16     4     1 -0.10000000000000E+01
  2        31        16     5     1 -0.10000000000000E+01
  2        33        17     0     1 -0.10000000000000E+01
  2        33        17     1     1 -0.10000000000000E+01
  2        33        17     2     1 -0.10000000000000E+01
  2        33        17     3     1 -0.10000000000000E+01
  2        33        17     4     1 -0.10000000000000E+01
  2        33        17     5     1 -0.10000000000000E+01
  2        35        18     0     1 -0.10000000000000E+01
  2        35        18     1     1 -0.10000000000000E+01
  2        35        18     2     1 -0.10000000000000E+01
  2        35        18     3     1 -0.10000000000000E+01
  2        35        18     4     1 -0.10000000000000E+01
  2        35        18     5     1 -0.10000000000000E+01
  2        37        19     0     1 -0.10000000000000E+01
  2        37        19     1     1 -0.10000000000000E+01
  2        37        19     2     1 -0.10000000000000E+01
  2        37        19     3     1 -0.10000000000000E+01
  2        37        19     4     1 -0.10000000000000E+01
  2        37        19     5     1 -0.10000000000000E+01
  2        39        20     0     1 -0.10000000000000E+01
  2        39        20     1     1 -0.10000000000000E+01
  2        39        20     2     1 -0.10000000000000E+01
  2        39        20     3     1 -0.10000000000000E+01
  2        39        20     4     1 -0.10000000000000E+01
  2        39        20     5     1 -0.10000000000000E+01
